,image_name,subject_id,dbscan_count,dbscan_noise,dbscan_silouette_score,dbscan_BIC_score,eps,min_samples
0,EGI01-1-2_110.jpg,72332799,0,12,,,0.01,3
1,EGI01-1-2_110.jpg,72332799,0,12,,,0.01,5
2,EGI01-1-2_110.jpg,72332799,0,12,,,0.01,8
3,EGI01-1-2_110.jpg,72332799,0,12,,,0.01,10
4,EGI01-1-2_110.jpg,72332799,0,12,,,0.05,3
5,EGI01-1-2_110.jpg,72332799,0,12,,,0.05,5
6,EGI01-1-2_110.jpg,72332799,0,12,,,0.05,8
7,EGI01-1-2_110.jpg,72332799,0,12,,,0.05,10
8,EGI01-1-2_110.jpg,72332799,0,12,,,0.1,3
9,EGI01-1-2_110.jpg,72332799,0,12,,,0.1,5
10,EGI01-1-2_110.jpg,72332799,0,12,,,0.1,8
11,EGI01-1-2_110.jpg,72332799,0,12,,,0.1,10
12,EGI01-1-2_110.jpg,72332799,0,12,,,0.2,3
13,EGI01-1-2_110.jpg,72332799,0,12,,,0.2,5
14,EGI01-1-2_110.jpg,72332799,0,12,,,0.2,8
15,EGI01-1-2_110.jpg,72332799,0,12,,,0.2,10
16,EGI01-1-2_110.jpg,72332799,0,12,,,0.3,3
17,EGI01-1-2_110.jpg,72332799,0,12,,,0.3,5
18,EGI01-1-2_110.jpg,72332799,0,12,,,0.3,8
19,EGI01-1-2_110.jpg,72332799,0,12,,,0.3,10
20,EGI01-1-2_110.jpg,72332799,0,12,,,0.4,3
21,EGI01-1-2_110.jpg,72332799,0,12,,,0.4,5
22,EGI01-1-2_110.jpg,72332799,0,12,,,0.4,8
23,EGI01-1-2_110.jpg,72332799,0,12,,,0.4,10
24,EGI01-1-2_110.jpg,72332799,1,9,,,0.5,3
25,EGI01-1-2_110.jpg,72332799,0,12,,,0.5,5
26,EGI01-1-2_110.jpg,72332799,0,12,,,0.5,8
27,EGI01-1-2_110.jpg,72332799,0,12,,,0.5,10
0,EGI01-1-2_121.jpg,72332802,0,27,,,0.01,3
1,EGI01-1-2_121.jpg,72332802,0,27,,,0.01,5
2,EGI01-1-2_121.jpg,72332802,0,27,,,0.01,8
3,EGI01-1-2_121.jpg,72332802,0,27,,,0.01,10
4,EGI01-1-2_121.jpg,72332802,0,27,,,0.05,3
5,EGI01-1-2_121.jpg,72332802,0,27,,,0.05,5
6,EGI01-1-2_121.jpg,72332802,0,27,,,0.05,8
7,EGI01-1-2_121.jpg,72332802,0,27,,,0.05,10
8,EGI01-1-2_121.jpg,72332802,0,27,,,0.1,3
9,EGI01-1-2_121.jpg,72332802,0,27,,,0.1,5
10,EGI01-1-2_121.jpg,72332802,0,27,,,0.1,8
11,EGI01-1-2_121.jpg,72332802,0,27,,,0.1,10
12,EGI01-1-2_121.jpg,72332802,3,17,0.13004997076387906,,0.2,3
13,EGI01-1-2_121.jpg,72332802,0,27,,,0.2,5
14,EGI01-1-2_121.jpg,72332802,0,27,,,0.2,8
15,EGI01-1-2_121.jpg,72332802,0,27,,,0.2,10
16,EGI01-1-2_121.jpg,72332802,4,10,0.30312110048099183,,0.3,3
17,EGI01-1-2_121.jpg,72332802,1,22,,,0.3,5
18,EGI01-1-2_121.jpg,72332802,0,27,,,0.3,8
19,EGI01-1-2_121.jpg,72332802,0,27,,,0.3,10
20,EGI01-1-2_121.jpg,72332802,5,3,0.6232371155966254,,0.4,3
21,EGI01-1-2_121.jpg,72332802,1,19,,,0.4,5
22,EGI01-1-2_121.jpg,72332802,0,27,,,0.4,8
23,EGI01-1-2_121.jpg,72332802,0,27,,,0.4,10
24,EGI01-1-2_121.jpg,72332802,5,2,0.6621948355053543,,0.5,3
25,EGI01-1-2_121.jpg,72332802,2,13,0.20749110808199894,,0.5,5
26,EGI01-1-2_121.jpg,72332802,0,27,,,0.5,8
27,EGI01-1-2_121.jpg,72332802,0,27,,,0.5,10
0,EGI01-1-2_122.jpg,72332803,1,25,,,0.01,3
1,EGI01-1-2_122.jpg,72332803,0,29,,,0.01,5
2,EGI01-1-2_122.jpg,72332803,0,29,,,0.01,8
3,EGI01-1-2_122.jpg,72332803,0,29,,,0.01,10
4,EGI01-1-2_122.jpg,72332803,3,7,0.5494387047328515,,0.05,3
5,EGI01-1-2_122.jpg,72332803,2,11,0.38132109036971606,,0.05,5
6,EGI01-1-2_122.jpg,72332803,1,18,,,0.05,8
7,EGI01-1-2_122.jpg,72332803,0,29,,,0.05,10
8,EGI01-1-2_122.jpg,72332803,3,4,0.7473071065530646,,0.1,3
9,EGI01-1-2_122.jpg,72332803,3,4,0.7473071065530646,,0.1,5
10,EGI01-1-2_122.jpg,72332803,2,10,0.4394974363653597,,0.1,8
11,EGI01-1-2_122.jpg,72332803,1,18,,,0.1,10
12,EGI01-1-2_122.jpg,72332803,3,3,0.8473102153213771,,0.2,3
13,EGI01-1-2_122.jpg,72332803,3,3,0.8473102153213771,,0.2,5
14,EGI01-1-2_122.jpg,72332803,2,10,0.4394974363653597,,0.2,8
15,EGI01-1-2_122.jpg,72332803,1,18,,,0.2,10
16,EGI01-1-2_122.jpg,72332803,3,3,0.8473102153213771,,0.3,3
17,EGI01-1-2_122.jpg,72332803,3,3,0.8473102153213771,,0.3,5
18,EGI01-1-2_122.jpg,72332803,2,10,0.4394974363653597,,0.3,8
19,EGI01-1-2_122.jpg,72332803,1,18,,,0.3,10
20,EGI01-1-2_122.jpg,72332803,2,3,0.8792231702651045,,0.4,3
21,EGI01-1-2_122.jpg,72332803,2,3,0.8792231702651045,,0.4,5
