subject_id,data.no,data.yes
72333000,21.0,1.0
72333001,20.0,1.0
72333002,20.0,0.0
72333003,22.0,0.0
72333004,23.0,0.0
72333005,22.0,0.0
72333006,23.0,0.0
72333007,21.0,0.0
72333008,21.0,0.0
72333009,20.0,0.0
72333010,23.0,0.0
72333011,21.0,0.0
72333012,21.0,0.0
72333013,20.0,0.0
72333014,20.0,0.0
72333015,20.0,1.0
72333016,21.0,1.0
72333017,20.0,1.0
72333018,21.0,0.0
72333019,21.0,0.0
72333020,21.0,0.0
72333021,21.0,0.0
72333022,21.0,0.0
72333023,22.0,0.0
72333024,22.0,0.0
72333025,20.0,0.0
72333026,21.0,0.0
72333027,21.0,2.0
72333028,20.0,1.0
72333029,21.0,0.0
72333030,21.0,0.0
72333031,21.0,0.0
72333032,17.0,4.0
72333033,22.0,0.0
72333034,22.0,0.0
72333035,22.0,0.0
72333036,22.0,0.0
72333037,21.0,0.0
72333038,22.0,1.0
72333039,21.0,1.0
72333040,21.0,0.0
72333041,21.0,1.0
72333042,20.0,2.0
72333043,22.0,0.0
72333044,21.0,0.0
72333045,21.0,1.0
72333046,21.0,1.0
72333047,19.0,2.0
72333048,20.0,1.0
72333049,21.0,0.0
72333050,21.0,0.0
72333051,21.0,0.0
72333052,21.0,0.0
72333053,21.0,1.0
72333054,22.0,0.0
72333055,22.0,0.0
72333056,20.0,1.0
72333057,21.0,0.0
72333058,22.0,0.0
72333059,21.0,0.0
72333060,22.0,0.0
72333061,22.0,0.0
72333062,22.0,0.0
72333063,21.0,1.0
72333064,22.0,0.0
72333065,20.0,1.0
72333066,20.0,1.0
72333067,20.0,1.0
72333068,21.0,0.0
72333069,20.0,0.0
72333070,21.0,0.0
72333071,21.0,0.0
72333072,22.0,0.0
72333073,21.0,1.0
72333074,21.0,0.0
72333075,21.0,1.0
72333076,20.0,1.0
72333077,21.0,0.0
72333078,22.0,0.0
72333079,21.0,0.0
72333080,21.0,0.0
72333081,21.0,0.0
72333082,22.0,0.0
72333083,22.0,0.0
72333084,20.0,1.0
72333085,21.0,0.0
72333086,21.0,0.0
72333087,22.0,0.0
72333088,22.0,0.0
72333089,21.0,0.0
72333090,22.0,0.0
72333091,21.0,0.0
72333092,22.0,0.0
72333093,18.0,3.0
72333094,22.0,0.0
72333095,16.0,5.0
72333096,22.0,0.0
72333097,22.0,0.0
72333098,22.0,0.0
72333099,21.0,0.0
72333100,21.0,0.0
72333101,22.0,0.0
72333102,22.0,0.0
72333103,21.0,0.0
72333104,21.0,0.0
72333105,22.0,0.0
72333106,22.0,0.0
72333107,22.0,0.0
72333108,22.0,0.0
72333109,22.0,1.0
72333110,20.0,2.0
72333111,21.0,0.0
72333112,21.0,0.0
72333113,22.0,0.0
72333114,20.0,1.0
72333115,21.0,0.0
72333116,23.0,0.0
72333117,22.0,0.0
72333118,20.0,2.0
72333119,19.0,2.0
72333120,21.0,0.0
72333121,21.0,0.0
72333122,20.0,0.0
72333123,22.0,0.0
72333124,20.0,1.0
72333125,7.0,15.0
72333126,21.0,0.0
72333127,21.0,0.0
72333128,11.0,10.0
72333129,1.0,21.0
72333130,22.0,0.0
72333131,21.0,1.0
72333132,21.0,1.0
72333133,22.0,0.0
72333134,22.0,0.0
72333135,16.0,6.0
72333136,22.0,0.0
72333137,20.0,1.0
72333138,15.0,7.0
72333139,21.0,0.0
72333140,22.0,0.0
72333141,20.0,0.0
72333142,22.0,0.0
72333143,12.0,10.0
72333144,8.0,15.0
72333145,20.0,1.0
72333146,1.0,19.0
72333147,20.0,2.0
72333148,22.0,0.0
72333149,21.0,0.0
72333150,22.0,0.0
72333151,11.0,11.0
72333152,21.0,0.0
72333153,20.0,1.0
72333154,21.0,0.0
72333155,21.0,0.0
72333156,21.0,0.0
72333157,18.0,3.0
72333158,21.0,0.0
72333159,20.0,0.0
72333160,22.0,0.0
72333161,21.0,0.0
72333162,21.0,0.0
72333163,19.0,2.0
72333164,22.0,0.0
72333165,21.0,0.0
72333166,21.0,0.0
72333167,21.0,0.0
72333168,21.0,0.0
72333169,20.0,0.0
72333170,21.0,0.0
72333171,22.0,0.0
72333172,21.0,0.0
72333173,21.0,0.0
72333174,23.0,0.0
72333175,20.0,1.0
72333176,21.0,1.0
72333177,24.0,0.0
72333178,20.0,1.0
72333179,21.0,1.0
72333180,21.0,0.0
72333181,21.0,0.0
72333182,20.0,1.0
72333183,21.0,0.0
72333184,22.0,0.0
72333185,19.0,1.0
72333186,21.0,0.0
72333187,21.0,0.0
72333188,22.0,0.0
72333189,19.0,2.0
72333190,20.0,1.0
72333191,21.0,0.0
72333192,6.0,15.0
72333193,9.0,12.0
72333194,21.0,0.0
72333195,21.0,0.0
72333196,22.0,0.0
72333197,21.0,0.0
72333198,19.0,2.0
72333199,21.0,0.0
72333200,23.0,0.0
72333201,21.0,0.0
72333202,20.0,1.0
72333203,21.0,1.0
72333204,22.0,0.0
72333205,21.0,0.0
72333206,21.0,0.0
72333207,22.0,0.0
72333208,21.0,1.0
72333209,22.0,0.0
72333210,22.0,0.0
72333211,24.0,0.0
72333212,21.0,1.0
72333213,22.0,0.0
72333214,22.0,0.0
72333215,20.0,2.0
72333216,21.0,0.0
72333217,20.0,1.0
72333218,14.0,7.0
72333219,21.0,0.0
72333220,20.0,1.0
72333221,15.0,6.0
72333222,21.0,0.0
72333223,22.0,0.0
72333224,20.0,1.0
72333225,21.0,0.0
72333226,21.0,0.0
72333227,19.0,2.0
72333228,22.0,0.0
72333229,8.0,14.0
72333230,21.0,0.0
72333231,21.0,0.0
72333232,21.0,0.0
72333233,20.0,1.0
72333234,22.0,0.0
72333235,22.0,0.0
72333236,21.0,1.0
72333237,21.0,0.0
72333238,22.0,0.0
72333239,22.0,0.0
72333240,10.0,12.0
72333241,22.0,0.0
72333242,19.0,3.0
72333243,21.0,2.0
72333244,0.0,23.0
72333245,17.0,4.0
72333246,21.0,0.0
72333247,21.0,1.0
72333248,22.0,0.0
72333249,19.0,2.0
72333250,13.0,8.0
72333251,13.0,9.0
72333252,21.0,0.0
72333253,21.0,1.0
72333254,22.0,0.0
72333255,19.0,2.0
72333256,18.0,4.0
72333257,21.0,0.0
72333258,21.0,0.0
72333259,21.0,0.0
72333260,3.0,18.0
72333261,6.0,15.0
72333262,20.0,0.0
72333263,18.0,4.0
72333264,22.0,0.0
72333265,16.0,5.0
72333266,22.0,1.0
72333267,11.0,11.0
72333268,18.0,4.0
72333269,21.0,1.0
72333270,19.0,3.0
72333271,21.0,0.0
72333272,20.0,1.0
72333273,21.0,1.0
72333274,22.0,0.0
72333275,22.0,0.0
72333276,21.0,0.0
72333277,22.0,1.0
72333278,21.0,0.0
72333279,21.0,0.0
72333280,21.0,0.0
72333281,21.0,0.0
72333282,20.0,0.0
72333283,21.0,0.0
72333284,21.0,0.0
72333285,23.0,0.0
72333286,21.0,0.0
72333287,21.0,0.0
72333288,21.0,0.0
72333289,21.0,0.0
72333290,21.0,0.0
72333291,21.0,0.0
72333292,22.0,0.0
72333293,22.0,0.0
72333294,21.0,0.0
72333295,21.0,0.0
72333296,19.0,2.0
72333297,22.0,0.0
72333298,21.0,0.0
72333299,21.0,0.0
72333300,22.0,0.0
72333301,21.0,0.0
72333302,22.0,0.0
72333303,20.0,1.0
72333304,20.0,1.0
72333305,21.0,0.0
72333306,21.0,0.0
72333307,21.0,0.0
72333308,21.0,1.0
72333309,22.0,0.0
72333310,22.0,0.0
72333311,20.0,1.0
72333312,21.0,1.0
72333313,20.0,0.0
72333314,21.0,1.0
72333315,21.0,0.0
72333316,21.0,2.0
72333317,20.0,1.0
72333318,20.0,1.0
72333319,20.0,1.0
72333320,21.0,0.0
72333321,21.0,0.0
72333322,18.0,3.0
72333323,21.0,0.0
72333324,22.0,0.0
72333325,21.0,0.0
72333326,21.0,0.0
72333327,22.0,0.0
72333328,21.0,1.0
72333329,22.0,0.0
72333330,18.0,3.0
72333331,22.0,0.0
72333332,20.0,1.0
72333333,22.0,0.0
72333334,22.0,0.0
72333335,21.0,0.0
72333336,21.0,0.0
72333337,20.0,1.0
72333338,21.0,0.0
72333339,21.0,0.0
72333340,20.0,1.0
72333341,19.0,3.0
72333342,20.0,1.0
72333343,21.0,1.0
72333344,19.0,3.0
72333345,19.0,3.0
72333346,22.0,0.0
72333347,22.0,0.0
72333348,19.0,2.0
72333349,21.0,0.0
72333350,21.0,0.0
72333351,22.0,0.0
72333352,21.0,1.0
72333353,20.0,1.0
72333354,22.0,0.0
72333355,21.0,0.0
72333356,20.0,1.0
72333357,21.0,0.0
72333358,23.0,0.0
72333359,19.0,2.0
72333360,20.0,1.0
72333361,21.0,1.0
72333362,20.0,1.0
72333363,21.0,0.0
72333364,22.0,1.0
72333365,19.0,2.0
72333366,20.0,1.0
72333367,20.0,0.0
72333368,22.0,0.0
72333369,22.0,0.0
72333370,19.0,3.0
72333371,20.0,1.0
72333372,20.0,1.0
72333373,20.0,1.0
72333374,21.0,0.0
72333375,21.0,0.0
72333376,19.0,3.0
72333377,19.0,3.0
72333378,21.0,0.0
72333379,22.0,0.0
72333380,21.0,1.0
72333381,22.0,1.0
72333382,21.0,0.0
72333383,21.0,0.0
72333384,22.0,0.0
72333385,20.0,1.0
72333386,22.0,0.0
72333387,18.0,3.0
72333388,22.0,0.0
72333389,20.0,1.0
72333390,22.0,0.0
72333391,18.0,3.0
72333392,20.0,2.0
72333393,6.0,16.0
72333394,21.0,1.0
72333395,18.0,3.0
72333396,21.0,0.0
72333397,21.0,1.0
72333398,19.0,2.0
72333399,21.0,1.0
72333400,21.0,0.0
72333401,20.0,2.0
72333402,22.0,0.0
72333403,0.0,21.0
72333404,21.0,0.0
72333405,20.0,2.0
