,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
26,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_118.jpg,47967888,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
27,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_119.jpg,47967890,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
28,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_120.jpg,47967893,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
29,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_122.jpg,47967895,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
30,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_123.jpg,47967898,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
31,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_124.jpg,47967900,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
32,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_125.jpg,47967902,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
33,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_126.jpg,47967904,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
34,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_127.jpg,47967906,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
35,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_128.jpg,47967908,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
36,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_129.jpg,47967911,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
37,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_130.jpg,47967912,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
38,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_131.jpg,47967914,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
39,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_132.jpg,47967916,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
40,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_133.jpg,47967918,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
41,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_134.jpg,47967920,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
42,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_135.jpg,47967922,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
43,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_136.jpg,47967924,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
44,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_137.jpg,47967926,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
45,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_138.jpg,47967928,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
46,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_139.jpg,47967930,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
47,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_140.jpg,47967932,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
48,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_142.jpg,47967934,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
49,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_143.jpg,47967937,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
50,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_144.jpg,47967940,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
51,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_145.jpg,47967941,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
52,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_146.jpg,47967943,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
53,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_147.jpg,47967945,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
54,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_148.jpg,47967947,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
55,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_149.jpg,47967949,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
56,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_150.jpg,47967951,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
57,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_151.jpg,47967953,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
58,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_152.jpg,47967955,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
59,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_153.jpg,47967957,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
60,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_154.jpg,47967959,Y,0,1,0,0,1,Good,Visible,0,1.0,1.0,1.0,11.0,11.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,1.0,0.0,5.0,0,6.0
61,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_155.jpg,47967961,Y,1,0,3,0,4,Bad,Hard,0,5.0,5.4,5.0,5.0,27.0,"[3, 4, 5, 6, 9]",2.0,1.0,0.0,5.0,0,22.0
62,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_156.jpg,47967963,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
63,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_157.jpg,47967965,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
64,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_158.jpg,47967967,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
65,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_159.jpg,47967969,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
66,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_160.jpg,47967971,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
67,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_162.jpg,47967973,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
68,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_163.jpg,47967975,Y,0,0,1,0,1,Good,Visible,0,1.0,1.0,1.0,6.0,6.0,"[1, 1, 1, 1, 1, 1]",0.0,1.0,0.0,5.0,0,1.0
69,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_164.jpg,47967978,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
70,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_165.jpg,47967979,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
71,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_166.jpg,47967981,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
72,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_167.jpg,47967983,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
