,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
1271,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_61.jpg,47980099,Y,0,1,0,0,1,Good,Visible,
1272,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_62.jpg,48026645,Y,1,0,2,0,3,Good,Visible,
1282,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_73.jpg,47980157,Y,0,1,0,0,1,Good,Visible,
1292,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_84.jpg,47980222,Y,0,1,0,0,1,Good,Visible,
1310,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL02-1_33.jpg,48026817,Y,0,1,0,0,1,Good,Visible,
1723,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL03-3_62.jpg,48027975,Y,0,0,3,0,3,Good,Visible,
1987,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB01-1-2_84.jpg,47984354,N,0,0,0,0,0,,,
2032,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB01-2-1_218.jpg,47984737,N,0,0,0,0,0,,,
2062,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB01-2-1_274.jpg,47984976,Y,0,1,1,0,2,Good,Hard,
2141,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB01-2-1_434.jpg,47985494,N,0,0,0,0,0,,,
2165,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB01-2-2_122.jpg,47985686,Y,0,2,1,0,3,Good,Visible,
2193,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB01-2-2_229.jpg,47985844,Y,0,0,1,0,1,Good,Visible,
2445,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB02-2-1_67.jpg,47987920,Y,0,1,0,0,1,Good,Visible,
2506,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB02-2-2_143.jpg,47988474,Y,1,0,3,0,4,Bad,Visible,
2516,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB02-2-2_153.jpg,47988580,Y,0,1,0,0,1,Good,Visible,
2524,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB02-2-2_161.jpg,47988636,Y,0,1,0,0,1,Good,Visible,
2670,A. c. godzilla,San Cristobal,Playa Blanca (Punta Pitt),SRPB1,SRPB02-2-3_157.jpg,47989826,Y,0,0,1,0,1,Bad,Hard,
