,image_name,subject_id,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
5751,PCIE09-2_83.jpg,78960457,5.0,5.0,5,5,[5],5.0,1,5,[5],0.0,1.0,0.0,5.0,0,0.0
5752,PCIE09-2_84.jpg,78960458,2.0,2.0,2,2,[2],2.0,1,2,[2],0.0,0.0,0.0,0.0,0,0.0
5753,PCIE09-2_91.jpg,78960459,1.0,1.0,1,1,[1],1.0,2,2,"[1, 1]",0.0,0.0,0.0,0.0,0,0.0
5754,PCIE09-2_93.jpg,78960461,9.0,9.0,9,9,[9],9.0,1,9,[9],0.0,1.0,0.0,5.0,0,4.0
5755,PCIE09-2_95.jpg,78960463,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5756,PCIE09-3_08.jpg,78960464,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5757,PCIE09-3_103.jpg,78960469,4.0,4.0,4,4,[4],4.0,1,4,[4],0.0,0.0,0.0,0.0,0,0.0
5758,PCIE09-3_107.jpg,78960473,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5759,PCIE09-3_109.jpg,78960475,1.0,1.2,1,1,[1],1.0,5,6,"[1, 1, 1, 1, 2]",0.0,1.0,0.0,5.0,0,1.0
5760,PCIE09-3_11.jpg,78960476,6.0,6.0,6,6,[6],6.0,1,6,[6],0.0,1.0,0.0,5.0,0,1.0
5761,PCIE09-3_116.jpg,78960479,1.0,1.0,1,1,[1],1.0,2,2,"[1, 1]",0.0,0.0,0.0,0.0,0,0.0
5762,PCIE09-3_123.jpg,78960487,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5763,PCIE09-3_13.jpg,78960490,4.0,4.43,4,4,[4],4.0,7,31,"[4, 4, 4, 4, 5, 5, 5]",3.0,5.0,0.0,5.0,0,0.0
5764,PCIE09-3_134.jpg,78960494,3.0,3.0,3,3,[3],3.0,1,3,[3],0.0,0.0,0.0,0.0,0,0.0
5765,PCIE09-3_135.jpg,78960495,4.0,4.0,4,4,[4],4.0,1,4,[4],0.0,0.0,0.0,0.0,0,0.0
5766,PCIE09-3_136.jpg,78960496,3.0,3.0,3,3,[3],3.0,1,3,[3],0.0,0.0,0.0,0.0,0,0.0
5767,PCIE09-3_142.jpg,78960503,2.0,2.0,2,2,[2],2.0,1,2,[2],0.0,0.0,0.0,0.0,0,0.0
5768,PCIE09-3_147.jpg,78960505,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5769,PCIE09-3_150.jpg,78960508,1.0,1.0,1,1,[1],1.0,3,3,"[1, 1, 1]",0.0,0.0,0.0,0.0,0,0.0
5770,PCIE09-3_152.jpg,78960510,2.0,2.0,2,2,[2],2.0,1,2,[2],0.0,0.0,0.0,0.0,0,0.0
5771,PCIE09-3_156.jpg,78960514,2.0,2.0,2,2,[2],2.0,1,2,[2],0.0,0.0,0.0,0.0,0,0.0
5772,PCIE09-3_164.jpg,78960519,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5773,PCIE09-3_167.jpg,78960522,4.0,4.0,4,4,[4],4.0,1,4,[4],0.0,0.0,0.0,0.0,0,0.0
5774,PCIE09-3_168.jpg,78960523,3.0,3.0,3,3,[3],3.0,1,3,[3],0.0,0.0,0.0,0.0,0,0.0
5775,PCIE09-3_175.jpg,78960530,15.0,15.0,15,15,[15],15.0,1,15,[15],2.0,1.0,0.0,5.0,0,10.0
5776,PCIE09-3_188.jpg,78960538,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5777,PCIE09-3_194.jpg,78960540,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5778,PCIE09-3_198.jpg,78960544,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5779,PCIE09-3_212.jpg,78960548,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5780,PCIE09-3_213.jpg,78960549,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5781,PCIE09-3_214.jpg,78960550,10.0,10.0,10,10,[10],10.0,1,10,[10],0.0,1.0,0.0,5.0,0,5.0
5782,PCIE09-3_230.jpg,78960556,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5783,PCIE09-3_246.jpg,78960563,2.0,3.0,1,6,"[1, 2, 6]",3.0,3,9,"[1, 2, 6]",1.0,1.0,0.0,5.0,0,4.0
5784,PCIE09-3_258.jpg,78960566,3.0,3.0,3,3,[3],3.0,1,3,[3],0.0,0.0,0.0,0.0,0,0.0
5785,PCIE09-3_275.jpg,78960574,2.0,2.0,2,2,[2],2.0,1,2,[2],0.0,0.0,0.0,0.0,0,0.0
5786,PCIE09-3_277.jpg,78960576,2.0,2.0,2,2,[2],2.0,1,2,[2],0.0,0.0,0.0,0.0,0,0.0
5787,PCIE09-3_278.jpg,78960577,7.0,7.0,7,7,[7],7.0,1,7,[7],0.0,1.0,0.0,5.0,0,2.0
5788,PCIE09-3_292.jpg,78960582,7.0,7.0,7,7,[7],7.0,1,7,[7],0.0,1.0,0.0,5.0,0,2.0
5789,PCIE09-3_293.jpg,78960583,5.0,5.0,5,5,[5],5.0,1,5,[5],0.0,1.0,0.0,5.0,0,0.0
5790,PCIE09-3_294.jpg,78960584,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
5791,PCIE09-3_311.jpg,78960590,1.0,1.0,1,1,[1],1.0,1,1,[1],0.0,0.0,0.0,0.0,0,0.0
