,site_name,subject_group,image_name,subject_id,count_total,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points,data.no,data.yes
33,BahiaNegra,MBN1,MBN04-3_326.jpg,78926692,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
34,BahiaNegra,MBN1,MBN04-3_74.jpg,78926732,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
35,BahiaNegra,MBN2,MBN05-1_151.jpg,78926786,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
36,BahiaNegra,MBN2,MBN05-1_204.jpg,78926821,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
37,BahiaNegra,MBN2,MBN05-1_72.jpg,78926842,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
38,BahiaNegra,MBN2,MBN05-2_116.jpg,78926873,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
39,BahiaNegra,MBN2,MBN05-2_221.jpg,78926950,1,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0
40,BahiaNegra,MBN2,MBN05-2_228.jpg,78926957,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
41,BahiaNegra,MBN2,MBN05-2_84.jpg,78927033,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
42,BahiaNegra,MBN2,MBN05-3_173.jpg,78927083,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
43,BahiaNegra,MBN2,MBN05-3_23.jpg,78927098,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0
44,BahiaNegra,MBN2,MBN05-3_34.jpg,78927107,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,32.0,0.0
45,BahiaNegra,MBN2,MBN06-1_32.jpg,78927165,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
46,BahiaNegra,MBN2,MBN06-1_54.jpg,78927179,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
47,BahiaNegra,MBN2,MBN06-2_51.jpg,78927200,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
48,BahiaNegra,MBN2,MBN06-3_48.jpg,78927246,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
49,BahiaNegra,MBN2,MBN06-4_18.jpg,78927260,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
50,BahiaNegra,MBN2,MBN06-4_50.jpg,78927276,0,2.0,2.0,1.0,3.0,"[1, 3]",2.0,2.0,4.0,"[1, 3]",0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0
51,BahiaNegra,MBN2,MBN06-4_68.jpg,78927290,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
52,BahiaNegra,MBN2,MBN06-4_87.jpg,78927306,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
53,BahiaNegra,MBN2,MBN07_40.jpg,78927343,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
54,BahiaNegra,MBN2,MBN07_55.jpg,78927351,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
55,BahiaNegra,MBN2,MBN08-1_89.jpg,78927429,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
56,BahiaNegra,MBN2,MBN08-2_43.jpg,78927466,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
57,BahiaNegra,MBN2,MBN08-2_92.jpg,78927498,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
58,BahiaNegra,MBN2,MBN09-1_102.jpg,78927506,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0
59,BahiaNegra,MBN2,MBN09-1_122.jpg,78927517,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
60,BahiaNegra,MBN2,MBN09-1_124.jpg,78927519,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
61,BahiaNegra,MBN2,MBN09-2_117.jpg,78927608,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
62,BahiaNegra,MBN2,MBN09-2_36.jpg,78927635,0,2.0,2.0,2.0,2.0,[2],2.0,1.0,2.0,[2],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
63,BahiaNegra,MBN2,MBN09-3_100.jpg,78927699,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
64,BahiaNegra,MBN2,MBN09-3_85.jpg,78927789,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
65,BahiaNegra,MBN2,MBN09-4_111.jpg,78927817,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
66,BahiaNegra,MBN2,MBN09-4_129.jpg,78927830,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
67,BahiaNegra,MBN2,MBN09-4_89.jpg,78927885,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
68,BahiaNegraD,MBBD1,MBBD01-1_164.jpg,78927939,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,29.0,2.0
69,BahiaNegraD,MBBD1,MBBD01-1_209.jpg,78927976,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
70,BahiaNegraD,MBBD1,MBBD01-1_246.jpg,78928010,0,2.5,2.5,2.0,3.0,"[2, 3]",2.5,2.0,5.0,"[2, 3]",0.0,1.0,0.0,5.0,0.0,0.0,30.0,3.0
71,BahiaNegraD,MBBD1,MBBD01-1_266.jpg,78928030,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
72,BahiaNegraD,MBBD1,MBBD01-1_298.jpg,78928059,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
73,BahiaNegraD,MBBD1,MBBD01-1_303.jpg,78928064,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
74,BahiaNegraD,MBBD1,MBBD01-1_73.jpg,78928083,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
75,BahiaNegraD,MBBD1,MBBD01-2_20.jpg,78928165,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
76,BahiaNegraD,MBBD1,MBBD01-2_234.jpg,78928198,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
77,BahiaNegraD,MBBD1,MBBD01-2_24.jpg,78928201,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
78,BahiaNegraD,MBBD1,MBBD01-2_251.jpg,78928211,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
79,BahiaNegraD,MBBD1,MBBD01-2_42.jpg,78928263,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
80,BahiaNegraD,MBBD1,MBBD01-3_142.jpg,78928338,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
81,BahiaNegraD,MBBD1,MBBD01-3_25.jpg,78928410,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
82,BahiaNegraD,MBBD1,MBBD01-3_27.jpg,78928411,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
83,BahiaNegraD,MBBD1,MBBD01-3_30.jpg,78928414,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
84,BahiaNegraD,MBBD1,MBBD01-3_50.jpg,78928432,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
85,BahiaNegraD,MBBD1,MBBD01-3_51.jpg,78928433,0,13.0,13.0,4.0,22.0,"[4, 22]",13.0,2.0,26.0,"[4, 22]",2.0,2.0,0.0,5.0,0.0,0.0,29.0,2.0
86,BahiaNegraD,MBBD1,MBBD02-1_122.jpg,78928486,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
87,BahiaNegraD,MBBD1,MBBD02-1_138.jpg,78928499,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
88,BahiaNegraD,MBBD1,MBBD02-1_33.jpg,78928554,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
89,BahiaNegraD,MBBD1,MBBD02-1_83.jpg,78928579,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
90,BahiaNegraD,MBBD1,MBBD02-1_99.jpg,78928589,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
91,BahiaNegraD,MBBD1,MBBD02-2_11.jpg,78928604,0,10.0,10.0,10.0,10.0,[10],10.0,1.0,10.0,[10],0.0,1.0,0.0,5.0,0.0,4.0,30.0,1.0
92,BahiaNegraD,MBBD1,MBBD02-2_157.jpg,78928642,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
93,BahiaNegraD,MBBD1,MBBD02-2_160.jpg,78928646,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
94,BahiaNegraD,MBBD1,MBBD02-2_166.jpg,78928652,0,19.0,19.0,19.0,19.0,[19],19.0,1.0,19.0,[19],0.0,1.0,0.0,5.0,0.0,14.0,30.0,1.0
95,BahiaNegraD,MBBD1,MBBD02-2_177.jpg,78928657,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
96,BahiaNegraD,MBBD1,MBBD02-2_195.jpg,78928669,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
97,BahiaNegraD,MBBD1,MBBD02-2_204.jpg,78928678,0,4.0,4.0,4.0,4.0,[4],4.0,1.0,4.0,[4],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
98,BahiaNegraD,MBBD1,MBBD02-2_223.jpg,78928689,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
99,BahiaNegraD,MBBD1,MBBD02-2_244.jpg,78928704,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
