,dbscan_count,dbscan_noise,dbscan_silouette_score,image_name,eps,min_samples,dbscan_BIC_score
0,14,349,-0.6704158622454514,ESCH01-1_13.jpg,0.01,3,
1,0,395,,ESCH01-1_13.jpg,0.01,5,
2,0,395,,ESCH01-1_13.jpg,0.01,8,
3,0,395,,ESCH01-1_13.jpg,0.01,10,
4,26,68,0.44697694221196044,ESCH01-1_13.jpg,0.05,3,
5,20,100,0.38925507108845414,ESCH01-1_13.jpg,0.05,5,
6,17,155,0.19239397626560834,ESCH01-1_13.jpg,0.05,8,
7,13,202,0.006141460597530895,ESCH01-1_13.jpg,0.05,10,
8,15,15,0.5716736742912335,ESCH01-1_13.jpg,0.1,3,
9,16,24,0.5663831856900979,ESCH01-1_13.jpg,0.1,5,
10,18,28,0.6163522683573528,ESCH01-1_13.jpg,0.1,8,
11,17,39,0.5684104017223403,ESCH01-1_13.jpg,0.1,10,
12,9,7,0.48738411321843866,ESCH01-1_13.jpg,0.2,3,
13,9,9,0.4839769815535146,ESCH01-1_13.jpg,0.2,5,
14,9,10,0.48104222297030413,ESCH01-1_13.jpg,0.2,8,
15,9,10,0.48104222297030413,ESCH01-1_13.jpg,0.2,10,
16,6,6,0.4303192460956797,ESCH01-1_13.jpg,0.3,3,
17,7,6,0.44370673510552394,ESCH01-1_13.jpg,0.3,5,
18,7,8,0.44109418918577875,ESCH01-1_13.jpg,0.3,8,
19,7,8,0.44109418918577875,ESCH01-1_13.jpg,0.3,10,
20,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.4,3,
21,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.4,5,
22,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.4,8,
23,6,5,0.4318597873002517,ESCH01-1_13.jpg,0.4,10,
24,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.5,3,
25,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.5,5,
26,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.5,8,
27,5,5,0.3603279553133261,ESCH01-1_13.jpg,0.5,10,
0,8,88,-0.4457799956389601,ESCH01-1_19.jpg,0.01,3,
1,0,115,,ESCH01-1_19.jpg,0.01,5,
2,0,115,,ESCH01-1_19.jpg,0.01,8,
3,0,115,,ESCH01-1_19.jpg,0.01,10,
4,9,12,0.7169354917559645,ESCH01-1_19.jpg,0.05,3,
5,8,16,0.6635116977080224,ESCH01-1_19.jpg,0.05,5,
6,8,21,0.5961267950636808,ESCH01-1_19.jpg,0.05,8,
7,4,65,-0.0037246391847589244,ESCH01-1_19.jpg,0.05,10,
8,7,9,0.702956918634224,ESCH01-1_19.jpg,0.1,3,
9,7,9,0.702956918634224,ESCH01-1_19.jpg,0.1,5,
10,7,9,0.702956918634224,ESCH01-1_19.jpg,0.1,8,
11,6,27,0.4802883551170587,ESCH01-1_19.jpg,0.1,10,
