,site_name,subject_group,image_name,subject_id,count_total,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
0,El Miedo,SFM1,SFM01-2-2-2_282.jpg,47969795,2,2.5,2.5,2.0,3.0,"[2, 3]",2.5,2.0,5.0,"[2, 3]",0.0,1.0,0.0,5.0,0.0,0.0
1,El Miedo,SFM1,SFM01-2-2-1_344.jpg,47969531,4,1.0,1.44,1.0,1.0,[1],1.0,9.0,13.0,"[1, 1, 1, 1, 1, 1, 2, 2, 3]",2.0,1.0,0.0,5.0,0.0,8.0
2,El Miedo,SFM1,SFM01-2-2-2_270.jpg,47969760,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
3,El Miedo,SFM1,SFM01-2-2-2_289.jpg,47969815,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
4,El Miedo,SFM1,SFM01-2-2-2_291.jpg,47969821,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
5,El Miedo,SFM1,SFM01-2-2-2_293.jpg,47969828,7,1.0,2.31,1.0,1.0,[1],1.0,13.0,30.0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 8]",2.0,1.0,0.0,5.0,0.0,22.0
6,El Miedo,SFM1,SFM01-2-2-2_314.jpg,47969892,1,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0
7,El Miedo,SFM1,SFM01-2-2-2_326.jpg,47969922,8,5.0,4.75,5.0,5.0,[5],5.0,4.0,19.0,"[3, 5, 5, 6]",3.0,1.0,0.0,5.0,0.0,13.0
8,El Miedo,SFM1,SFM01-2-2-3_148.jpg,47970135,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0
9,Loberia,SRL1,SRL03-3_72.jpg,48028078,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
10,El Miedo,SFM1,SFM01-1-1_100.jpg,47967838,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
11,El Miedo,SFM1,SFM01-1-1_103.jpg,47967843,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
