,image_name_x,subject_id,Median0s,Mean0s,Max0s,Std0s,Median.r,Mean.r,Mode0s,subspecies,island,site_name,subject_group,image_name_y,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
28,ESCB-2.1-1_89.jpg,72337251,1.0,1.052631579,2,0.229415734,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_89.jpg,Y,0,1,0,0,1,Good,Visible,
29,ESCB-2.1-2_111.jpg,72337273,1.0,1.125,2,0.353553391,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_111.jpg,Y,0,0,0,1,0,Good,Visible,
30,ESCB-2.1-2_118.jpg,72337280,1.0,1.133333333,2,0.351865775,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_118.jpg,Y,0,1,0,1,1,Bad,Visible,
31,ESCB-2.1-2_37.jpg,72337295,2.0,1.833333333,3,0.514495755,2,2,2,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_37.jpg,Y,0,1,1,0,2,Good,Visible,
32,ESCB-2.1-2_39.jpg,72337297,2.0,2.421052632,5,1.216360211,2,2,2,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_39.jpg,Y,1,1,3,0,5,Good,Visible,1 iguana only Andres sees; concensus: 5 iguanas seen by all
33,ESCB-2.1-2_51.jpg,72337309,1.0,1.0,1,0.0,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_51.jpg,Y,0,0,1,0,1,Bad,Hard,
34,ESCB-2.1-2_52.jpg,72337310,1.0,1.0,1,0.0,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_52.jpg,N,0,0,0,0,0,,,
35,ESCB-2.1-2_59.jpg,72337317,3.0,2.619047619,5,1.321975434,3,3,4,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_59.jpg,Y,0,2,2,0,4,Good,Visible,
36,ESCB-2.1-2_94.jpg,72337352,2.0,2.2,4,0.894427191,2,2,2,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_94.jpg,Y,0,1,2,1,3,Good,Visible,
37,ESCB-2.1-2_98.jpg,72337356,1.0,1.2,4,0.695852374,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_98.jpg,Y,0,1,0,1,1,Good,Visible,
38,ESCB-2.2-1_24.jpg,72337377,1.0,1.285714286,3,0.755928946,1,1,1,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.2-1_24.jpg,Y,0,0,0,2,0,Good,Visible,
39,ESCB-2.2-1_36.jpg,72337389,5.0,4.636363636,7,1.255291829,5,5,5,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.2-1_36.jpg,Y,0,3,2,1,5,Good,Visible,
40,ESCB-2.2-2_31.jpg,72337421,2.0,2.3125,6,1.302241657,2,2,3,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.2-2_31.jpg,Y,0,1,2,2,3,Good,Visible,
41,ESCF01-1_103.jpg,72337432,5.0,5.333333333,12,2.762848771,5,5,7,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-1_103.jpg,Y,1,0,8,0,9,Bad,Visible,
