,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
26,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI10-2_63.jpg,72334600,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
27,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI10-2_76.jpg,72334605,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
28,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI10-3_255.jpg,72334654,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
29,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI10-3_52.jpg,72334674,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
30,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI11-1_219.jpg,72334727,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
31,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI11-2_395.jpg,72334972,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
32,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI11-2_67.jpg,72335070,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
33,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EIG05-1_84.jpg,72335125,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
34,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EPGI07-1_263.jpg,72335251,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
35,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EPGI07-1_37.jpg,72335266,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
36,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EPGI07-1_73.jpg,72335285,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
37,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EPGI07-2_08.jpg,72335303,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
38,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS01_28.jpg,72335422,Y,0,1,0,0,1,Good,Visible,0,1.0,1.5,1.0,8.0,12.0,"[1, 1, 1, 1, 1, 1, 1, 5]",2.0,1.0,0.0,5.0,0,7.0
39,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS01_41.jpg,72335435,Y,0,0,1,2,1,Good,Visible,0,2.0,1.67,2.0,15.0,25.0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0,0.0,5.0,0,0.0
40,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS02_108.jpg,72335473,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
41,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS02_208.jpg,72335541,Y,0,1,1,3,2,Good,Visible,0,2.0,2.19,2.0,21.0,46.0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 7]",4.0,2.0,0.0,5.0,0,7.0
42,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS02_38.jpg,72335546,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
43,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS02_55.jpg,72335554,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
44,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_24.jpg,72335585,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
45,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_35.jpg,72335594,Y,1,0,2,0,3,Good,Visible,0,3.0,2.61,3.0,18.0,47.0,"[1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0,0.0,5.0,0,4.0
46,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_70.jpg,72335629,Y,1,0,13,1,14,Good,Visible,0,14.0,13.55,15.0,22.0,298.0,"[6, 8, 11, 11, 11, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 15, 15, 15, 16, 16, 17, 18]",8.0,16.0,0.0,5.0,0,21.0
47,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_75.jpg,72335634,Y,0,0,1,1,1,Good,Visible,0,1.0,1.71,1.0,7.0,12.0,"[1, 1, 1, 1, 1, 3, 4]",0.0,1.0,0.0,5.0,0,7.0
48,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS04-1_136.jpg,72335681,Y,0,0,3,0,3,Good,Visible,0,3.0,3.19,3.0,16.0,51.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6]",2.0,3.0,0.0,5.0,0,2.0
49,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS04-1_149.jpg,72335688,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
50,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS05-1_167.jpg,72335867,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
51,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS05-2_98.jpg,72335930,Y,0,1,1,0,2,Bad,Visible,0,1.0,1.42,1.0,19.0,27.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 7]",1.0,1.0,0.0,5.0,0,22.0
52,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-1_130.jpg,72335960,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
53,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-1_157.jpg,72335987,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
54,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-1_167.jpg,72335995,Y,0,0,1,0,1,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
55,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-2_160.jpg,72336110,Y,1,0,1,1,2,Bad,Hard,2 iguanas and 1 partial seen by all,1.0,1.2,1.0,15.0,18.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",0.0,1.0,0.0,5.0,0,13.0
56,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-2_212.jpg,72336132,Y,0,0,1,0,1,Good,Visible,0,1.0,1.12,1.0,16.0,18.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",1.0,1.0,0.0,5.0,0,13.0
57,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-2_235.jpg,72336142,Y,0,0,2,1,2,Good,Visible,0,2.0,1.95,2.0,20.0,39.0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",2.0,2.0,0.0,5.0,0,0.0
58,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_238.jpg,72336297,Y,0,0,2,0,2,Good,Visible,0,2.0,2.45,2.0,20.0,49.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5]",4.0,3.0,0.0,5.0,0,0.0
59,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_301.jpg,72336349,Y,1,2,3,1,6,Good,Visible,0,5.0,4.65,5.0,20.0,93.0,"[3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6]",6.0,5.0,0.0,5.0,0,0.0
60,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_317.jpg,72336360,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
61,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_322.jpg,72336365,Y,0,0,2,0,2,Bad,Hard,0,2.0,2.09,2.0,11.0,23.0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]",2.0,2.0,0.0,5.0,0,3.0
62,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_376.jpg,72336404,Y,0,0,7,1,7,Bad,Hard,0,6.0,5.88,6.0,17.0,100.0,"[1, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 10]",9.0,8.0,0.0,5.0,0,6.0
63,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-2_171.jpg,72336460,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
64,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-2_260.jpg,72336532,Y,0,0,4,0,4,Bad,Hard,1 iguana only Andrea sees; concensus: 4 iguanas seen by all,4.0,3.57,4.0,14.0,50.0,"[2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,4.0,0.0,5.0,0,1.0
65,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-2_293.jpg,72336542,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
66,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-2_59.jpg,72336566,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
67,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-1_224.jpg,72336687,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
68,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-1_289.jpg,72336742,Y,0,1,0,0,1,Good,Visible,0,1.0,1.0,1.0,20.0,20.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,0.0,5.0,0,15.0
69,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-1_351.jpg,72336780,Y,0,0,7,1,7,Good,Visible,0,5.0,4.76,5.0,21.0,100.0,"[2, 2, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7]",4.0,6.0,0.0,5.0,0,5.0
70,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_230.jpg,72336869,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
71,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_311.jpg,72336927,Y,0,1,1,0,2,Good,Hard,0,1.0,1.5,1.0,8.0,12.0,"[1, 1, 1, 1, 1, 2, 2, 3]",2.0,2.0,0.0,5.0,0,0.0
72,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_354.jpg,72336966,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
73,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_38.jpg,72336992,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
74,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_390.jpg,72337004,Y,0,1,1,0,2,Good,Visible,0,2.0,2.0,2.0,17.0,34.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0,0.0,5.0,0,0.0
75,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_469.jpg,72337084,Y,0,2,1,0,3,Good,Hard,0,2.0,2.1,2.0,21.0,44.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4]",2.0,2.0,0.0,5.0,0,2.0
76,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_06.jpg,72337166,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
77,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_112.jpg,72337178,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
78,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_119.jpg,72337185,Y,1,1,5,1,7,Good,Visible,0,5.0,5.25,4.0,20.0,105.0,"[3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 8]",2.0,5.0,0.0,5.0,0,10.0
79,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_122.jpg,72337188,Y,0,0,1,1,1,Bad,Visible,0,1.0,1.5,1.0,20.0,30.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4]",2.0,2.0,0.0,5.0,0,1.0
80,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_21.jpg,72337194,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
81,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_24.jpg,72337197,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
82,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_46.jpg,72337208,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
83,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_48.jpg,72337210,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
84,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_65.jpg,72337227,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
85,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_67.jpg,72337229,Y,0,1,0,0,1,Good,Visible,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
86,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_70.jpg,72337232,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
87,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_72.jpg,72337234,Y,0,0,0,2,0,Good,Visible,0,1.0,1.29,1.0,7.0,9.0,"[1, 1, 1, 1, 1, 2, 2]",0.0,1.0,0.0,5.0,0,4.0
88,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_75.jpg,72337237,Y,0,1,0,0,1,Good,Visible,0,1.0,1.21,1.0,14.0,17.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",1.0,1.0,0.0,5.0,0,12.0
89,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_80.jpg,72337242,Y,0,0,2,1,2,Good,Visible,0,1.5,1.6,1.0,10.0,16.0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3]",3.0,2.0,0.0,5.0,0,0.0
90,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_89.jpg,72337251,Y,0,1,0,0,1,Good,Visible,0,1.0,1.05,1.0,19.0,20.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",2.0,1.0,0.0,5.0,0,15.0
91,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_102.jpg,72337264,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
92,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_105.jpg,72337267,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
93,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_111.jpg,72337273,Y,0,0,0,1,0,Good,Visible,0,1.0,1.12,1.0,8.0,9.0,"[1, 1, 1, 1, 1, 1, 1, 2]",0.0,1.0,0.0,5.0,0,4.0
94,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_112.jpg,72337274,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
95,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_118.jpg,72337280,Y,0,1,0,1,1,Bad,Visible,0,1.0,1.13,1.0,15.0,17.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0.0,1.0,0.0,5.0,0,12.0
96,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_37.jpg,72337295,Y,0,1,1,0,2,Good,Visible,0,2.0,1.83,2.0,18.0,33.0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]",2.0,2.0,0.0,5.0,0,0.0
97,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_39.jpg,72337297,Y,1,1,3,0,5,Good,Visible,1 iguana only Andres sees; concensus: 5 iguanas seen by all,2.0,2.42,2.0,19.0,46.0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5]",4.0,4.0,0.0,5.0,0,0.0
98,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_51.jpg,72337309,Y,0,0,1,0,1,Bad,Hard,0,1.0,1.0,1.0,6.0,6.0,"[1, 1, 1, 1, 1, 1]",0.0,1.0,0.0,5.0,0,1.0
99,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_52.jpg,72337310,N,0,0,0,0,0,0,0,0,1.0,1.0,1.0,6.0,6.0,"[1, 1, 1, 1, 1, 1]",0.0,1.0,0.0,5.0,0,1.0
100,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_59.jpg,72337317,Y,0,2,2,0,4,Good,Visible,0,3.0,2.62,4.0,21.0,55.0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5]",3.0,4.0,0.0,5.0,0,1.0
101,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_70.jpg,72337328,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
102,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_72.jpg,72337330,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
103,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_94.jpg,72337352,Y,0,1,2,1,3,Good,Visible,0,2.0,2.32,2.0,19.0,44.0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4]",2.0,3.0,0.0,5.0,0,0.0
