,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
125,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-1_66.jpg,72337517,Y,0,1,2,0,3,Good,Visible,
126,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-1_71.jpg,72337522,Y,0,0,1,0,1,Good,Visible,
130,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_08.jpg,72337557,Y,0,1,5,2,6,Good,Visible,
131,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_21.jpg,72337565,Y,0,0,0,1,0,Good,Visible,
132,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_24.jpg,72337568,Y,1,1,4,1,6,Good,Visible,
133,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_30.jpg,72337571,Y,0,1,6,0,7,Good,Hard,
134,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_33.jpg,72337574,Y,0,0,4,2,4,Good,Visible,
135,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_40.jpg,72337581,Y,0,0,4,3,4,Good,Visible,
137,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-2_65.jpg,72337604,Y,0,0,6,1,6,Good,Visible,
141,A. c. venustissimus,Española,South Coast F,South Coast F,ESCF01-3_176.jpg,72337679,Y,0,0,2,0,2,Good,Visible,
152,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_105.jpg,72372992,Y,0,0,2,0,2,Bad,Hard,
153,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_108.jpg,72372997,Y,0,1,5,1,6,Bad,Hard,
155,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_128.jpg,72373025,Y,0,0,0,1,0,Bad,Visible,
156,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_129.jpg,72373027,Y,0,1,1,0,2,Bad,Visible,1 iguana only Andrea sees; concensus: 2 iguanas seen by all
158,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_143.jpg,72373044,Y,1,0,2,0,3,Good,Hard,
