,filename,images
0,flat_dataset_ Iguanas 2nd launch.csv,4574
1,2nd launch_without_prefix,455
2,expert-GS-2ndphase.csv,456
3,2-T2-GS-results-5th-0s.csv,169
4,df_merged_dataset_Iguanas 2nd launch,169
5,merged_dataset_gold_standard_expert_Iguanas 2nd launch_filtered.csv,169
